,Year,Area,Variable,Generation (TWh),Share of production (%),Change on last year (%),Change on last year (TWh),Longitude,Latitude
238,2001,Hungary,Fossil,22.031999999999996,60.50215968709129,6.08628659476115,1.26399999999999,19.5033,47.1625
239,2001,Hungary,Coal,8.839,24.2728117953068,-7.831074035453581,-0.750999999999999,19.5033,47.1625
240,2001,Hungary,Hard Coal,0.05,0.137305191737226,-25.373134328358198,-0.017,19.5033,47.1625
241,2001,Hungary,Lignite,8.789,24.135506603569603,-7.707655150687799,-0.7340000000000001,19.5033,47.1625
242,2001,Hungary,Gas,8.861,24.333226079671196,34.2169039684943,2.259,19.5033,47.1625
243,2001,Hungary,Other fossil,4.332,11.896121812113199,-5.33216783216782,-0.243999999999999,19.5033,47.1625
244,2001,Hungary,Nuclear,14.126,38.791462769601104,-0.380818053596621,-0.0540000000000002,19.5033,47.1625
245,2001,Hungary,Renewables,0.257229,0.706377543307499,5.95235153102833,0.0144509999999999,19.5033,47.1625
246,2001,Hungary,Hydro,0.18600000000000003,0.510775313262481,4.494382022471919,0.008,19.5033,47.1625
247,2001,Hungary,Wind and solar,0.001,0.0027461038347445198,inf,0.001,19.5033,47.1625
248,2001,Hungary,Wind,0.001,0.0027461038347445198,inf,0.001,19.5033,47.1625
249,2001,Hungary,Solar,0.0,0.0,,0.0,19.5033,47.1625
250,2001,Hungary,Bioenergy,0.070229,0.192856126210273,8.41489394547534,0.0054510000000000105,19.5033,47.1625
251,2001,Hungary,Other renewables,0.0,0.0,,0.0,19.5033,47.1625
252,2001,Hungary,Production,36.415229,,3.47946555770946,1.22445099999999,19.5033,47.1625
253,2001,Hungary,Net imports,3.1710000000000003,,-7.819767441860441,-0.268999999999999,19.5033,47.1625
254,2001,Hungary,Demand,39.586228999999996,,2.47328956201711,0.9554510000000029,19.5033,47.1625
255,2001,Ireland,Fossil,23.605,95.8306268268918,4.96709356101032,1.117,7.6921,53.1424
256,2001,Ireland,Coal,7.062,28.6700227346541,3.5939562857562,0.245,7.6921,53.1424
257,2001,Ireland,Hard Coal,7.062,28.6700227346541,3.5939562857562,0.245,7.6921,53.1424
258,2001,Ireland,Lignite,0.0,0.0,,0.0,7.6921,53.1424
259,2001,Ireland,Gas,9.147,37.1346216303994,-1.2522940731944199,-0.115999999999999,7.6921,53.1424
260,2001,Ireland,Other fossil,7.396,30.025982461838197,15.418227215979998,0.987999999999999,7.6921,53.1424
261,2001,Ireland,Nuclear,0.0,0.0,,0.0,7.6921,53.1424
262,2001,Ireland,Renewables,1.0270000000000001,4.169373173108149,-13.406408094435001,-0.158999999999999,7.6921,53.1424
263,2001,Ireland,Hydro,0.596,2.4196167586878796,-29.634002361275,-0.250999999999999,7.6921,53.1424
