,Unnamed: 0,Year,Area,Variable,Generation (TWh),Share of production (%),Change on last year (%),Change on last year (TWh)
421,583,2001,Cyprus,Other fossil,3.551,100.0,5.37091988130564,0.18100000000000002
422,584,2001,Cyprus,Nuclear,0.0,0.0,,0.0
424,586,2001,Cyprus,Hydro,0.0,0.0,,0.0
425,588,2001,Cyprus,Wind,0.0,0.0,,0.0
426,589,2001,Cyprus,Solar,0.0,0.0,,0.0
427,590,2001,Cyprus,Bioenergy,0.0,0.0,,0.0
428,591,2001,Cyprus,Other renewables,0.0,0.0,,0.0
429,595,2001,Czech Republic,Fossil,56.908726,76.6608584427512,-0.223484411030028,-0.127467000000002
430,596,2001,Czech Republic,Coal,52.593999999999994,70.8485582498905,-0.29951471034274,-0.158000000000001
431,597,2001,Czech Republic,Hard Coal,5.672999999999999,7.64200994318038,2.86491387126019,0.158
432,598,2001,Czech Republic,Lignite,46.92100000000001,63.2065483067101,-0.6689671232296801,-0.316000000000002
433,599,2001,Czech Republic,Gas,1.58,2.1283933915432702,-6.5641632170313295,-0.11099999999999902
434,600,2001,Czech Republic,Other fossil,2.7347259999999998,3.6839068013174505,5.457866036195529,0.141532999999999
435,601,2001,Czech Republic,Nuclear,14.749,19.8681481847289,8.52832965415748,1.159
437,603,2001,Czech Republic,Hydro,2.0540000000000003,2.76691140900625,16.8373151308305,0.29600000000000004
438,605,2001,Czech Republic,Wind,0.0,0.0,-100.0,-0.0008849999999999999
439,606,2001,Czech Republic,Solar,8.1e-05,0.000109113838427218,62.0,3.1e-05
440,607,2001,Czech Republic,Bioenergy,0.52259,0.703972849675063,-0.41921530516968397,-0.0021999999999999698
441,608,2001,Czech Republic,Other renewables,0.0,0.0,,0.0
442,612,2001,Denmark,Fossil,31.8669999999999,84.4987139713096,4.68103278365417,1.425
443,613,2001,Denmark,Coal,17.819000000000003,47.2489592448227,6.87338811251725,1.146
444,614,2001,Denmark,Hard Coal,17.819000000000003,47.2489592448227,6.87338811251725,1.146
445,615,2001,Denmark,Lignite,0.0,0.0,,0.0
446,616,2001,Denmark,Gas,9.273,24.5883382388035,5.6872578071575,0.499
