,Year,Area,Share_sum(%),Change_sum(%)
4088,2011,Denmark,40.25321267595619,150.00908966952144
4101,2011,Estonia,9.149570488578918,50.344463046360254
4114,2011,Finland,64.70574252345267,75.87298693432805
4127,2011,France,89.54017795307774,303.65301537789713
4140,2011,Germany,38.205761316872334,66.7449064891936
4153,2011,Greece,13.762408599754764,271.6651638076272
4166,2011,Hungary,51.06499937699842,85.42891356897522
4179,2011,Ireland,19.966088976200417,94.3036245127392
4192,2011,Italy,27.677387131263472,484.080921217652
4205,2011,Latvia,50.48455223067338,108.0659769791499
4218,2011,Lithuania,27.88627839054797,108.46460716391927
4231,2011,Luxembourg,9.278700023822207,7.033743570295204
4244,2011,Malta,0.45435770342833504,inf
4257,2011,Netherlands,14.46333480606838,73.55091682339851
4270,2011,Poland,8.058892944110488,inf
4283,2011,Portugal,46.47880784342493,22.31756085215704
4296,2011,Romania,45.26023245488982,4269.862253642728
4309,2011,Slovakia,72.3504136998452,2227.9783108179417
4322,2011,Slovenia,63.43103241668784,415.6613973548022
4335,2011,Spain,49.8488129845791,7.963391829898535
4348,2011,Sweden,96.19385999216438,102.30448886111412
4361,2011,United Kingdom,28.539886315107157,588.017479179434
4374,2012,Austria,74.71541508753974,116.0611100356873
4387,2012,Belgium,62.345735944164744,179.23071444380918
4400,2012,Bulgaria,45.28243524894676,774.2141078573557
4413,2012,Croatia,49.67410418772626,1787.5392947994635
4426,2012,Cyprus,5.445211011943998,138.77539832742517
4439,2012,Czech Republic,44.322704908497236,43.60526678845112
4452,2012,Denmark,48.3279761994335,605.4889592926947
4465,2012,Estonia,12.338450795630912,85.8067392560321
4478,2012,Finland,73.54519760267418,45.364941237273044
4491,2012,France,90.05888324295806,139.09458073071926
4504,2012,Germany,38.93436045578547,70.73833605754845
4517,2012,Greece,16.70380878169594,202.23610269916702
4530,2012,Hungary,53.23845615670623,456.31761721465085
4543,2012,Ireland,19.364912022552296,56.04663388002979
4556,2012,Italy,31.10519441805172,116.29675585269646
4569,2012,Latvia,66.62893368741037,inf
4582,2012,Lithuania,27.491961115791447,inf
4595,2012,Luxembourg,11.17824093729203,126.77417283029554
4608,2012,Malta,1.118779104671527,inf
4621,2012,Netherlands,15.9046199058903,159.90323970437623
4634,2012,Poland,10.442862307569957,620.2867853319293
4647,2012,Portugal,42.50769662700064,-28.485512822046047
4660,2012,Romania,44.90407435578149,537.9420198287064
4673,2012,Slovakia,74.20290880781334,50.83934757864744
4686,2012,Slovenia,63.396846623418156,152.364886430657
4699,2012,Spain,50.527055108887986,24.233927112034337
4712,2012,Sweden,97.54377110446171,120.43737630621698
4725,2012,United Kingdom,30.93672748907582,833.1639601629229
4738,2013,Austria,78.18292928637887,54.86583626259748
4751,2013,Belgium,66.44420489518271,64.4602449784433
4764,2013,Bulgaria,48.949802626469896,166.2082237339102
4777,2013,Croatia,66.504074250258,538.7947363710582
4790,2013,Cyprus,7.622571421178829,141.28311332267708
